$OR;D2 
* From-Time  To-Time 
07.00 8.00 
* Factor 
1.00
9162021 9162115 3
9162071 783095006 4
9162012 9162021 78
9162064 9162004 8
9162085 9162034 5
9162115 9162160 16
9162043 586888382 22
9162113 9162103 24
9162007 9162012 26
9162158 9162077 0
9162107 9162019 18
9162087 9162004 58
9162010 9184003 56
9162079 9162160 3
9162102 9162119 26
9162001 9162059 5
9162021 9162028 8
9162026 9162034 29
9162115 9162059 21
9162158 9162160 2
9162062 9162103 29
9162022 9184003 41
9162102 9162103 25
9162064 783176708 60
9162030 9162079 52
9162122 9184018 14
9162056 9162012 8
9162022 9162159 16
9162019 9162042 9
9162012 9162102 33
9162071 9162012 2
9162035 9162113 16
9162102 9162007 6
9162016 9162115 11
9162059 9162158 3
9162160 783095006 2
9162103 9162012 20
9162056 783176708 55
9162119 9162079 23
9162159 9162004 20
9162113 9162068 20
9162159 586900421 62
9162110 783176708 24
9162159 9162115 4
9162158 9162042 22
9162025 9162009 5
9162103 784358748 4
9162010 52814612 27
9162001 9162012 32
9162021 9162059 32
9162119 9162103 23
9162085 9162066 30
9162085 774028738 13
9162059 819400248 3
9162058 586900421 10
9162160 9162012 0
9162160 9162010 14
9162113 9162158 8
9162026 9162037 12
9162071 9162115 8
9162158 783095006 10
9162047 9162012 7
9162032 554321029 22
9162027 9162119 3
9162079 9162010 8
9162037 9162115 1
9162158 9162079 8
9162016 9162034 0
9162158 9162107 32
9162040 9162115 24
9162034 783095006 25
9162066 9162004 20
9162084 586888382 4
9162103 9162066 29
9162007 9162103 13
9162025 9162160 7
9162081 9162071 15
9162058 586888382 10
9162059 9184018 3
586888382 9162102 73
9162016 9162160 5
9162159 9184018 6
9162026 9162025 14
9162024 9162009 64
9162004 9162160 18
9162119 9162038 15
9162081 9162122 18
9162119 9162021 8
9162115 9162034 16
554321029 9162068 41
774028738 9162107 3
774028738 9162159 29
774028738 9162012 18
52814612 9162021 58
52814612 9162110 71
52814612 9162038 4
52814612 9162159 164
783176672 9162085 4
586888382 9184003 25
586888382 9162160 17
586888382 9162066 18
586888382 9162016 108
819400248 9162049 30
819400248 9162087 2
554321029 9162059 214
554321029 9162058 142
554321029 9162065 35
554321029 9162160 9
783095006 783176672 21
783095006 9162068 27
9184005 9162025 21
554321029 9162084 17
783095006 9162065 4
783095006 9162126 34
783176708 9162090 24
783176708 784358748 9
783176708 9162085 2
783176708 774028738 122
783176708 9162055 195
783176708 554321029 25
784358748 783176672 123
784358748 9162019 47
784358748 9162099 39
586900421 9162059 49
586900421 9162065 22
586900421 9162056 26
586900421 9162068 1
774028738 9162064 172
783176708 9162065 47
9184003 9162071 1
9184003 9162103 128
9184003 9162024 22
9184005 9162081 64
9184005 783176708 41
52814612 783176672 51
52814612 9162001 1
52814612 9162099 39
52814612 9162049 349
819400248 9162099 30
9184018 586900421 20
9162081 9184024 18
9184018 9162043 22
9184018 9162110 13
9184018 586888382 23
9184018 9162047 14
9184024 9184005 12
9184024 52814612 26
9184018 9162009 16
9162160 9162021 15
9162122 9162012 17
9162022 9162038 26
9162010 9162110 27
9162042 9162038 11
9162071 783176708 33
9162032 9162103 2
9162068 9162115 61
9162026 9162122 8
9162113 9162038 21
9162042 9162016 14
9162077 9162009 8
9162110 774028738 0
9162102 586888382 94
9162103 9162010 41
9162093 9162019 8
9162004 9162119 6
9162102 9162009 2
9162090 9162103 6
9162026 9162028 19
9162025 586888382 0
9162043 783095006 1
9162022 9162047 2
9162047 9162009 10
9162040 9162064 51
9162024 9162004 13
9162056 783176672 20
9162093 9162034 2
9162079 9162103 0
9162071 9162040 0
9162021 9184018 3
9162110 9162010 29
9162022 9162103 23
9162087 774028738 0
9162043 9162119 5
9162022 9162040 14
9162035 9162071 19
9162024 9162040 3
9162025 9162004 8
9162026 9162024 10
9162030 9162110 1
9162058 819400248 17
9162010 9162103 30
9162009 9162107 31
9162042 52814612 8
9162019 9162026 4
9162110 52814612 59
9162035 9162160 0
9162077 9162160 2
9162158 9162102 2
9162059 9162160 10
9162079 9184018 48
9162056 9162040 29
9162079 9162077 17
9162115 9162009 6
9162085 9162103 2
9162001 784358748 40
9162040 9162079 2
9162009 9162026 1
9162159 9162113 6
9162016 9162024 90
9162126 9162004 60
9162068 774028738 8
9162019 9162012 22
9162032 9162113 13
9162021 9162055 12
9162158 9162099 6
9162016 9162049 16
9162026 9184024 15
9162158 9162037 10
9162119 9162019 4
9162126 774028738 4
9162021 9162019 39
9162079 9162019 6
9162027 774028738 11
9162068 9162030 9
9162122 9162160 5
9162016 9162054 38
9162122 9162115 3
9162032 9162037 17
9162102 9162012 92
9162059 586900421 3
9162113 9162160 1
9162019 52814612 42
9162158 9162126 12
9162065 9162024 1
9162107 9162062 0
9162058 9162042 10
9162043 9162042 4
9162009 9162059 13
9162010 9162107 46
9162040 9162119 12
9162110 9162019 12
9162026 554321029 25
9162022 9162016 91
9162081 9162038 3
9162004 9162042 8
9162009 9162022 18
9162066 9162103 1
784358748 9162102 22
9162019 9162010 25
9162021 9162158 8
9162099 9162103 17
9162040 9162103 25
9162022 9162004 31
9162035 9162119 38
9162119 9184018 25
9162113 9184018 10
9162077 9162115 59
9162032 9162064 3
9162012 9162055 56
9162079 9162012 4
9162025 9162115 35
9162030 9162071 59
9162028 774028738 18
9162102 9162001 4
9162001 9162042 22
9162021 9162071 17
9162042 819400248 9
9162021 9162110 26
9162065 9184018 2
9162035 586888382 10
9162062 9162077 3
9162158 9162071 19
9162056 9162099 3
9162001 9162007 25
9162026 9162077 10
9162037 9162113 2
9162093 9162042 15
9162159 586888382 1
9162024 586900421 11
9162022 9162024 36
9162010 9162064 52
9162064 586888382 3
9162071 586888382 23
9162042 9162009 22
9162119 9162037 23
9162115 9162038 32
9162119 586888382 7
9162019 9162059 9
9162158 9162115 25
9162119 9162064 60
9162058 9162119 16
9162071 783176672 0
9162016 9162068 1
9162107 9162158 4
9162040 9184003 40
9162056 784358748 15
9162119 9162028 42
9162030 9162066 42
9162103 9162034 0
9162103 9162021 6
586888382 9162099 25
52814612 9162056 15
9162030 9162035 35
554321029 586900421 28
774028738 9162027 28
52814612 9162115 35
52814612 9162062 17
774028738 9162022 23
774028738 783176708 87
52814612 9162043 34
774028738 819400248 18
52814612 9162085 24
586888382 9162021 26
586888382 9184018 40
586888382 9162077 1
819400248 9162058 23
783176672 9162079 110
783176672 784358748 27
819400248 9162055 21
783176672 9162038 25
783095006 9184024 237
774028738 9162062 11
783095006 9162012 62
783095006 9162024 15
783095006 9162028 14
783095006 9162159 17
783095006 9162042 25
783095006 9162007 45
783095006 9162001 11
783176708 9162025 25
783176708 9162099 72
783176708 9162047 50
819400248 9162110 59
784358748 9162026 3
784358748 586900421 18
784358748 9162158 49
586900421 9162026 26
586900421 9162037 12
586900421 9162027 0
586900421 9162025 47
774028738 9162071 66
774028738 9162068 15
774028738 9162093 22
9184003 9162056 12
9184005 9162077 16
9184005 9162122 31
9184005 9162038 5
9162024 9162064 14
9162024 784358748 25
774028738 9162016 68
774028738 9162043 5
52814612 9162007 44
9184018 9162035 8
9184018 9162102 15
9184018 9162158 23
9184018 9162065 1
52814612 9162122 44
52814612 9162034 17
9184018 9162025 23
9184018 9162077 38
52814612 9162068 8
586900421 9162007 18
586900421 9162071 54
9162159 9162012 14
9162126 9162119 2
9162158 9162110 32
9162037 9162119 26
9162071 9162079 19
9162042 9162085 12
9162054 9162004 8
9162001 9162068 13
9162087 9162009 3
9162056 9162119 44
9162158 9162022 39
9162034 9162043 2
9162016 9162026 25
9162158 9162085 0
9162079 819400248 5
9162025 9162043 2
9162071 819400248 16
9162019 9162113 29
9162159 783095006 5
9162102 9162040 4
9162071 9162009 15
9162077 9162062 21
9162009 9162049 5
586888382 783176672 71
9162010 9184018 12
9162042 9162103 43
9162062 9162001 6
9162016 9162038 19
9162099 783176672 9
9162115 9162037 4
9162159 9162019 6
9162043 783176672 8
9162004 9162071 43
9162016 9162099 28
9162113 9162001 12
9162126 586888382 18
9162032 9162040 10
9162009 9162019 19
9162103 9184018 0
9162004 9162102 10
9162099 9162059 0
9162043 52814612 8
9162110 9162068 0
9162062 784358748 4
9162019 9162009 4
9162038 9162113 5
9162058 9162012 2
9162019 774028738 6
9162085 9162012 6
9162107 9162004 148
9162079 9162110 12
9162021 9162084 0
9162107 9162160 3
9162113 9162037 0
9162103 9162087 0
9162079 554321029 51
9162077 783176672 1
9162090 9162079 5
9162077 9184018 16
9162107 586888382 23
9162009 9162115 15
9162016 9162087 31
9162016 9162102 21
9162079 9162068 6
9162012 9162043 14
9162115 9162040 1
9162113 9162040 24
9162160 9162158 17
9162026 9162158 15
9162028 9162119 30
9162010 9162058 4
9162099 9162066 11
9162071 9162160 9
9162058 783176672 7
9162059 9162038 20
9162019 9162158 18
9162010 9162159 21
9162160 9162066 19
9162058 9162040 9
9162004 9162040 79
9162085 9162087 12
9162004 9162059 16
9162084 9162158 14
9162059 783095006 12
9162016 9162055 3
9162009 9162158 2
9162093 9162059 5
9162022 9162049 20
9162059 9162024 0
9162004 9162034 58
9162093 784358748 10
9162035 9162040 7
9162032 9162025 11
9162042 9162113 31
9162113 9184024 17
9162007 9162115 0
9162042 9162119 11
9162066 783095006 9
9162007 9162158 2
9162059 9162122 5
9162081 783176708 19
9162037 9162026 6
9162160 9162016 9
9162016 9162085 7
9162122 9162103 21
9162158 9162016 35
9162016 9162084 28
9162026 9162160 8
9162007 9162009 8
9162110 9162062 19
9162160 774028738 17
9162010 783176708 20
9162043 9162012 0
9162022 9162058 6
586888382 9162159 2
9162158 9162087 9
9162158 9184024 4
9162099 52814612 14
9162062 9162007 11
9162093 9162119 22
9162016 9162107 39
9162102 9162115 41
9162115 9162016 3
9162016 9162077 2
9162079 9162102 7
9162022 9162021 81
9162030 9162068 11
9162055 9162009 17
9162047 774028738 1
9162012 9162049 29
9162022 9162115 6
9162077 9162028 9
9162019 9162007 1
9162079 9162037 18
9162032 9162026 34
9162059 9162007 8
9162028 9162024 1
9162093 9162056 5
9162001 9162102 1
9162158 9162012 0
9162056 9162113 15
9162066 9162110 2
9162004 9162007 11
9162158 9162113 4
9162030 9162059 37
9162119 9162110 3
9162007 9162004 15
9162084 9162115 3
9162090 9162115 4
9162110 9162009 0
9162026 9162085 7
9162021 9162058 13
9162065 783095006 7
9162001 9162087 1
9162102 9162122 2
9162062 9162099 11
9162107 9162119 11
9162021 9162062 31
9162119 819400248 25
9162160 9162007 12
9162077 9162034 14
9162001 783095006 17
9162016 9162062 33
9162068 9162159 13
9162158 9162159 44
9162021 819400248 10
9162056 9162037 0
9162085 9184018 15
9162058 9162115 24
9162001 586900421 59
9162099 9162024 4
9162107 9162113 11
9162159 9162119 6
9162085 586888382 2
9162009 9162077 23
9162071 9184018 14
9162071 52814612 9
9162084 9162107 3
9162024 783176708 51
9162068 9162034 17
9162071 9162042 2
9162084 9162066 16
9162026 9162030 35
9162065 9162012 6
9162085 783176708 1
9162026 9162009 5
9162159 9162103 13
9162010 9162016 123
9162085 9162009 4
9162009 9162159 30
9162025 784358748 7
9162102 9162071 16
9162090 9162040 5
9162159 9162077 1
9162160 9162079 8
9162113 9162071 14
9162026 9162010 5
9162056 52814612 11
9162087 586888382 1
9162026 9162019 10
9162090 52814612 31
9162009 9162021 39
9162025 9162019 2
9162019 9162034 2
9162079 783176672 0
9162021 9162056 2
586888382 9162065 9
